veil-color,habitat,ring-type,cap-shape,spore-print-color,cap-color,gill-attachment,veil-type,gill-color,gill-spacing,cap-surface,class
4,0,7,2,5,7,4,2,9,4,9,No
4,5,7,3,9,7,4,2,4,4,9,No
4,0,7,5,5,6,4,2,1,4,9,No
4,7,7,3,9,7,4,2,4,4,9,No
4,0,7,3,5,7,4,2,9,4,9,No
4,7,7,5,9,6,4,2,4,4,9,No
4,7,7,5,5,6,4,2,1,4,9,No
4,7,7,3,9,7,4,2,10,4,0,No
4,0,7,3,9,7,4,2,9,4,0,No
4,2,7,0,9,1,4,2,1,4,5,No
4,3,7,3,6,6,4,2,9,3,5,No
4,7,7,3,9,7,4,2,4,4,0,No
4,2,7,3,5,6,4,2,4,4,9,Yes
4,0,7,3,5,7,4,2,8,4,9,No
4,2,7,0,5,1,4,2,8,4,5,No
4,0,7,3,9,7,4,2,9,4,9,No
4,3,7,3,6,7,4,2,8,3,0,No
4,2,7,0,5,3,4,2,10,4,5,No
4,0,7,3,9,6,4,2,10,4,0,Yes
4,7,7,3,5,6,4,2,1,4,9,No
4,0,7,2,9,3,4,2,8,4,9,Yes
4,0,9,2,5,1,4,2,10,3,0,No
4,7,7,3,5,7,4,2,1,4,0,No
4,0,9,3,9,6,4,2,4,3,0,No
4,0,7,5,5,7,4,2,9,4,0,No
4,0,9,2,5,1,4,2,5,3,5,No
4,0,7,3,9,6,4,2,4,4,0,No
4,7,7,5,5,6,4,2,4,4,0,No
4,0,7,5,5,6,4,2,9,4,0,No
4,7,7,5,5,6,4,2,9,4,9,No
4,3,7,2,6,6,4,2,9,3,0,No
4,7,7,3,9,7,4,2,1,4,9,No
4,3,7,2,5,6,4,2,8,3,0,No
4,2,7,3,5,6,4,2,9,4,9,Yes
4,3,7,2,5,6,4,2,9,3,5,No
4,0,7,3,5,7,4,2,4,4,9,No
4,0,7,3,5,3,4,2,8,4,0,Yes
4,0,7,5,5,7,4,2,9,4,0,No
4,5,7,3,9,3,4,2,9,4,9,No
4,7,7,5,9,7,4,2,1,4,9,No
4,2,7,0,5,3,4,2,10,4,5,No
4,5,7,2,9,3,4,2,9,4,9,No
4,0,7,3,9,7,4,2,10,4,9,No
4,0,9,3,9,1,4,2,10,3,5,No
4,0,9,2,5,6,4,2,10,3,5,No
4,7,7,3,5,7,4,2,9,4,9,No
4,0,7,5,9,7,4,2,10,4,0,No
4,7,7,5,9,6,4,2,1,4,9,No
4,0,7,3,5,6,4,2,9,4,9,No
4,0,9,3,5,3,4,2,8,3,0,No
4,0,7,3,5,6,4,2,1,4,9,No
4,2,7,0,9,3,4,2,10,4,5,No
4,3,7,3,6,6,4,2,9,3,0,No
4,0,7,3,9,3,4,2,9,4,9,No
4,0,7,5,5,7,4,2,10,4,9,No
4,0,7,3,5,6,4,2,10,4,9,No
4,7,7,5,9,6,4,2,4,4,9,No
4,0,7,5,9,7,4,2,1,4,0,No
4,7,7,5,9,7,4,2,1,4,0,No
4,0,7,5,9,7,4,2,4,4,9,No
4,2,7,3,5,3,4,2,10,4,5,No
4,0,7,2,5,3,4,2,4,4,9,No
4,0,7,3,5,6,4,2,10,4,9,No
4,5,7,2,5,7,4,2,9,4,9,No
4,0,7,5,5,6,4,2,9,4,0,No
4,7,7,5,9,6,4,2,9,4,0,No
4,0,7,3,9,3,4,2,9,4,9,No
4,0,7,5,9,6,4,2,10,4,0,No
4,2,7,3,5,1,4,2,1,4,5,No
4,0,7,5,5,7,4,2,10,4,0,No
4,3,7,3,6,7,4,2,4,3,5,No
4,0,7,5,9,7,4,2,9,4,9,No
4,0,7,2,5,7,4,2,8,4,9,No
4,7,7,5,9,6,4,2,9,4,9,No
4,7,7,5,9,6,4,2,10,4,9,No
4,0,7,5,5,7,4,2,1,4,9,No
4,7,7,3,5,7,4,2,1,4,9,No
4,0,7,5,5,7,4,2,1,4,0,No
4,2,7,3,5,6,4,2,8,4,9,Yes
4,2,7,0,5,3,4,2,1,4,5,No
4,2,7,2,9,3,4,2,1,4,5,No
4,7,7,3,5,7,4,2,1,4,0,No
4,5,7,2,9,3,4,2,8,4,9,No
4,0,7,3,9,6,4,2,10,4,9,Yes
4,7,7,5,5,6,4,2,1,4,0,No
4,2,7,2,9,1,4,2,8,4,5,No
4,0,7,5,5,7,4,2,1,4,9,No
4,5,7,3,5,3,4,2,9,4,9,No
4,0,9,3,9,6,4,2,8,3,5,No
4,3,7,3,5,6,4,2,9,3,0,No
4,7,7,5,5,6,4,2,9,4,0,No
4,3,7,2,5,7,4,2,9,3,0,No
4,7,7,3,5,7,4,2,10,4,0,No
4,2,7,2,5,1,4,2,1,4,5,No
4,0,7,5,9,7,4,2,4,4,0,No
4,7,7,3,5,6,4,2,1,4,0,No
4,7,7,3,5,6,4,2,4,4,9,No
4,3,7,2,5,6,4,2,4,3,0,No
4,0,7,3,5,7,4,2,9,4,9,No
4,0,7,5,9,6,4,2,9,4,0,No
4,0,7,3,9,6,4,2,1,4,0,No
4,0,9,3,9,6,4,2,5,3,5,No
4,5,7,2,9,3,4,2,4,4,9,No
4,2,7,3,5,6,4,2,10,4,0,Yes
4,0,7,5,5,6,4,2,4,4,0,No
4,7,7,5,9,6,4,2,10,4,0,No
4,0,7,5,5,6,4,2,4,4,9,No
4,0,7,5,9,6,4,2,9,4,9,No
4,0,7,3,9,7,4,2,9,4,0,No
4,7,7,5,9,6,4,2,9,4,0,No
4,3,7,3,5,7,4,2,4,3,5,No
4,2,7,3,5,1,4,2,4,4,5,No
4,0,7,2,5,7,4,2,4,4,9,No
4,7,7,5,9,6,4,2,4,4,0,No
4,0,7,3,9,7,4,2,1,4,0,No
4,0,7,3,9,7,4,2,10,4,9,No
4,0,7,3,5,6,4,2,9,4,9,No
4,2,7,0,5,1,4,2,8,4,5,No
4,7,7,3,5,6,4,2,4,4,0,No
4,0,7,3,9,6,4,2,10,4,0,Yes
4,0,7,3,5,7,4,2,4,4,9,No
4,3,7,2,5,6,4,2,8,3,5,No
4,7,7,3,9,6,4,2,1,4,9,No
4,0,7,5,9,6,4,2,4,4,9,No
4,0,7,3,5,6,4,2,1,4,0,No
4,0,7,3,5,7,4,2,1,4,0,No
4,2,7,3,9,3,4,2,8,4,9,Yes
4,0,7,5,5,7,4,2,4,4,0,No
4,2,7,3,9,1,4,2,4,4,5,No
4,2,7,3,9,6,4,2,10,4,9,Yes
4,5,7,3,5,7,4,2,4,4,9,No
4,2,7,2,9,3,4,2,10,4,5,No
4,0,7,5,5,6,4,2,10,4,0,No
4,3,7,3,5,6,4,2,9,3,5,No
4,0,7,3,9,6,4,2,9,4,9,No
4,0,7,5,5,7,4,2,4,4,9,No
4,0,7,3,9,7,4,2,4,4,9,No
4,5,7,2,9,7,4,2,8,4,9,No
4,5,7,2,9,7,4,2,9,4,9,No
4,0,7,3,9,6,4,2,9,4,0,No
4,7,7,3,5,6,4,2,9,4,0,No
4,2,7,3,9,6,4,2,4,4,0,Yes
4,3,7,2,6,6,4,2,8,3,5,No
4,0,7,3,5,6,4,2,9,4,0,No
4,3,7,3,6,6,4,2,8,3,0,No
4,7,7,3,9,6,4,2,4,4,9,No
4,5,7,2,9,7,4,2,9,4,9,No
4,0,9,3,9,3,4,2,8,3,0,No
4,0,7,2,5,7,4,2,9,4,9,No
4,0,7,3,5,3,4,2,8,4,0,Yes
4,2,7,0,5,3,4,2,1,4,5,No
4,7,7,5,5,7,4,2,9,4,9,No
4,0,7,5,5,6,4,2,4,4,0,No
4,7,7,5,5,6,4,2,10,4,9,No
4,2,7,2,5,3,4,2,10,4,5,No
4,7,7,3,9,6,4,2,9,4,0,No
4,0,7,5,9,6,4,2,1,4,9,No
4,7,7,5,5,6,4,2,1,4,9,No
4,0,7,2,5,3,4,2,9,4,9,No
4,0,7,3,9,6,4,2,10,4,9,Yes
4,0,7,3,5,6,4,2,4,4,0,No
4,7,7,3,5,6,4,2,4,4,9,No
4,3,7,2,6,6,4,2,9,3,5,No
4,2,7,2,9,1,4,2,1,4,5,No
4,0,9,2,9,1,4,2,8,3,0,No
4,7,7,3,5,7,4,2,1,4,9,No
4,7,7,5,5,6,4,2,10,4,0,No
4,2,7,2,9,3,4,2,9,4,9,Yes
4,7,7,3,9,6,4,2,4,4,0,No
4,2,7,2,9,3,4,2,9,4,0,Yes
4,0,7,3,5,6,4,2,10,4,9,No
4,7,7,3,5,7,4,2,10,4,9,No
4,5,7,2,5,7,4,2,4,4,9,No
4,5,7,3,5,3,4,2,9,4,9,No
4,0,7,2,5,3,4,2,9,4,9,No
4,7,7,3,5,6,4,2,9,4,9,No
4,0,9,2,9,3,4,2,5,3,5,No
4,7,7,3,5,7,4,2,10,4,0,No
4,0,7,3,5,6,4,2,9,4,9,Yes
4,7,7,5,5,7,4,2,4,4,9,No
4,2,7,0,5,3,4,2,8,4,5,No
4,7,7,3,9,7,4,2,10,4,0,No
4,7,7,5,9,6,4,2,4,4,9,No
4,0,7,2,9,3,4,2,4,4,9,No
4,7,7,5,9,7,4,2,1,4,9,No
4,0,7,5,9,6,4,2,1,4,9,No
4,5,7,3,5,3,4,2,4,4,9,No
4,2,7,2,5,1,4,2,8,4,5,No
4,2,7,3,9,1,4,2,1,4,5,No
4,0,7,5,9,7,4,2,4,4,9,No
4,7,7,3,9,7,4,2,4,4,0,No
4,0,7,5,5,6,4,2,10,4,9,No
4,7,7,3,9,6,4,2,1,4,0,No
4,7,7,5,5,7,4,2,1,4,0,No
4,7,7,3,9,7,4,2,10,4,0,No
4,0,9,3,9,1,4,2,8,3,5,No
4,3,7,2,5,7,4,2,8,3,0,No
4,0,7,3,9,6,4,2,8,4,9,Yes
4,0,9,3,9,6,4,2,10,3,5,No
4,0,7,5,9,6,4,2,9,4,9,No
4,3,7,3,5,7,4,2,9,3,0,No
4,0,7,5,9,6,4,2,4,4,9,No
4,0,7,3,9,6,4,2,1,4,9,No
4,3,7,3,5,3,4,2,8,4,5,No
4,7,7,5,5,6,4,2,10,4,9,No
4,7,7,3,5,7,4,2,1,4,0,No
4,0,7,2,9,3,4,2,8,4,9,No
4,0,9,3,5,6,4,2,4,3,5,No
4,0,7,3,9,7,4,2,9,4,0,No
4,0,7,3,5,6,4,2,4,4,9,Yes
4,0,7,3,9,7,4,2,4,4,9,No
4,3,7,3,5,6,4,2,8,3,5,No
4,0,7,5,5,7,4,2,1,4,0,No
4,2,7,3,9,6,4,2,10,4,9,Yes
4,3,7,3,5,7,4,2,9,3,0,No
4,7,7,3,9,6,4,2,10,4,9,No
4,3,7,3,5,6,4,2,4,3,5,No
4,3,7,2,5,6,4,2,9,3,0,No
4,7,7,3,5,7,4,2,10,4,9,No
4,3,7,2,6,7,4,2,9,3,5,No
4,0,7,3,9,6,4,2,9,4,0,No
4,7,7,5,9,7,4,2,4,4,9,No
4,5,7,3,5,3,4,2,8,4,9,No
4,0,7,5,9,6,4,2,10,4,9,No
4,7,7,3,5,7,4,2,4,4,0,No
4,2,7,3,5,3,4,2,4,4,9,Yes
4,0,7,5,9,7,4,2,9,4,0,No
4,0,7,5,9,6,4,2,1,4,9,No
4,2,7,3,9,3,4,2,9,4,9,Yes
4,7,7,5,9,6,4,2,4,4,0,No
4,7,7,5,5,7,4,2,9,4,9,No
4,0,7,5,9,7,4,2,4,4,9,No
4,0,7,3,5,6,4,2,1,4,9,No
4,3,7,3,9,3,4,2,8,4,5,No
4,0,7,3,9,3,4,2,9,4,9,No
4,0,7,5,5,7,4,2,4,4,0,No
4,2,7,3,5,1,4,2,1,4,5,No
4,0,7,3,9,3,4,2,4,4,9,No
4,0,7,3,5,6,4,2,10,4,0,No
4,0,7,5,9,6,4,2,4,4,9,No
4,7,7,3,9,7,4,2,1,4,0,No
4,3,7,2,5,7,4,2,8,3,5,No
4,0,7,5,5,7,4,2,1,4,9,No
4,0,9,3,5,3,4,2,4,3,5,No
4,3,7,3,5,7,4,2,4,3,5,No
4,7,7,3,5,7,4,2,4,4,0,No
4,0,9,2,9,1,4,2,4,3,0,No
4,2,7,3,5,3,4,2,1,4,5,No
4,0,9,2,5,1,4,2,5,3,0,No
4,5,7,2,5,3,4,2,8,4,9,No
4,0,7,5,5,6,4,2,10,4,9,No
4,7,7,5,9,7,4,2,10,4,0,No
4,5,7,3,9,7,4,2,9,4,9,No
4,2,7,0,5,1,4,2,1,4,5,No
4,5,7,2,5,3,4,2,8,4,9,No
4,2,7,3,9,3,4,2,10,4,9,Yes
4,5,7,3,5,7,4,2,8,4,9,No
4,0,7,3,5,7,4,2,9,4,9,No
4,0,9,3,5,3,4,2,5,3,5,No
4,0,9,3,9,3,4,2,8,3,5,No
4,0,9,2,9,3,4,2,10,3,0,No
4,5,7,2,5,3,4,2,4,4,9,No
4,0,7,3,9,7,4,2,9,4,0,No
4,2,7,2,9,3,4,2,8,4,5,No
4,5,7,3,5,7,4,2,9,4,9,No
4,3,7,3,6,7,4,2,8,3,5,No
4,0,7,5,5,7,4,2,1,4,9,No
4,0,9,3,9,1,4,2,4,3,5,No
4,0,7,3,5,7,4,2,9,4,9,No
4,0,7,2,9,3,4,2,4,4,9,No
4,7,7,3,9,7,4,2,9,4,0,No
4,2,7,0,5,3,4,2,4,4,5,No
4,7,7,3,9,6,4,2,10,4,0,No
4,0,7,5,9,6,4,2,4,4,0,No
4,2,7,0,9,3,4,2,10,4,5,No
4,7,7,5,5,7,4,2,4,4,9,No
4,0,7,3,5,7,4,2,10,4,9,No
4,0,7,5,5,7,4,2,10,4,9,No
4,2,7,3,9,3,4,2,8,4,9,Yes
4,0,9,3,5,6,4,2,10,3,0,No
4,7,7,3,9,6,4,2,9,4,9,No
4,0,7,5,5,6,4,2,1,4,0,No
4,3,7,3,5,3,4,2,4,4,5,No
4,2,7,3,5,3,4,2,9,4,0,Yes
4,5,7,3,9,3,4,2,9,4,9,No
4,0,9,3,9,3,4,2,4,3,0,No
4,7,7,5,9,7,4,2,4,4,9,No
4,7,7,3,5,7,4,2,9,4,0,No
4,7,7,5,5,7,4,2,4,4,0,No
4,7,7,3,9,7,4,2,1,4,0,No
4,0,7,5,5,6,4,2,4,4,9,No
4,2,7,3,5,1,4,2,10,4,5,No
4,0,7,2,9,3,4,2,9,4,9,No
4,0,9,3,5,1,4,2,5,3,5,No
4,7,7,3,5,6,4,2,10,4,0,No
4,7,7,3,5,7,4,2,9,4,9,No
4,2,7,3,9,1,4,2,4,4,5,No
4,2,7,3,5,3,4,2,8,4,0,Yes
4,0,7,5,5,6,4,2,9,4,9,No
4,7,7,5,9,6,4,2,4,4,9,No
4,2,7,3,5,3,4,2,8,4,9,Yes
4,7,7,5,5,7,4,2,9,4,0,No
4,7,7,3,5,6,4,2,10,4,0,No
4,7,7,3,9,7,4,2,4,4,9,No
4,0,7,5,5,7,4,2,4,4,9,No
4,7,7,3,5,6,4,2,1,4,0,No
4,0,7,3,9,6,4,2,1,4,0,No
4,5,7,3,5,3,4,2,9,4,9,No
4,7,7,3,5,6,4,2,9,4,0,No
4,0,9,3,9,3,4,2,4,3,0,No
4,5,7,3,5,3,4,2,4,4,9,No
4,0,7,3,9,7,4,2,4,4,9,No
4,0,7,3,9,3,4,2,10,4,9,Yes
4,0,7,5,5,7,4,2,9,4,9,No
4,3,7,3,6,6,4,2,8,3,5,No
4,2,7,3,9,3,4,2,9,4,0,Yes
4,0,7,3,9,7,4,2,10,4,9,No
4,0,9,2,5,1,4,2,5,3,5,No
4,0,7,3,9,6,4,2,4,4,9,No
4,7,7,5,5,6,4,2,9,4,9,No
4,2,7,3,5,3,4,2,8,4,9,Yes
4,0,7,2,9,3,4,2,9,4,9,No
4,7,7,3,5,6,4,2,4,4,0,No
4,3,7,3,5,6,4,2,4,3,0,No
4,5,7,2,5,3,4,2,4,4,9,No
4,7,7,5,5,6,4,2,10,4,0,No
4,0,9,3,9,6,4,2,8,3,0,No
4,2,7,2,5,1,4,2,4,4,5,No
4,0,7,3,5,6,4,2,1,4,9,No
4,0,7,3,5,7,4,2,4,4,9,No
4,0,7,5,5,7,4,2,1,4,0,No
4,0,7,5,9,7,4,2,9,4,0,No
4,3,7,2,5,6,4,2,4,3,0,No
4,7,7,5,9,6,4,2,9,4,0,No
4,3,7,3,6,7,4,2,4,3,5,No
4,7,7,3,5,6,4,2,1,4,9,No
4,7,7,5,5,7,4,2,10,4,9,No
4,5,7,3,5,3,4,2,8,4,9,No
4,7,7,3,9,6,4,2,4,4,9,No
4,7,7,3,9,6,4,2,1,4,9,No
4,5,7,3,9,7,4,2,8,4,9,No
4,7,7,3,9,6,4,2,4,4,9,No
4,7,7,3,9,7,4,2,9,4,0,No
4,0,7,3,9,3,4,2,8,4,9,No
4,0,7,3,5,6,4,2,4,4,0,No
4,0,7,2,9,3,4,2,4,4,9,No
4,7,7,5,9,6,4,2,9,4,0,No
4,3,7,3,5,3,4,2,4,4,5,No
4,7,7,3,5,6,4,2,10,4,9,No
4,0,7,5,9,6,4,2,1,4,0,No
4,7,7,5,9,7,4,2,1,4,0,No
4,3,7,3,5,7,4,2,8,3,5,No
4,7,7,5,5,6,4,2,1,4,0,No
4,0,9,3,9,1,4,2,5,3,0,No
4,0,7,5,5,6,4,2,10,4,0,No
4,7,7,5,9,7,4,2,9,4,0,No
4,5,7,2,9,7,4,2,4,4,9,No
4,5,7,2,5,3,4,2,9,4,9,No
4,7,7,3,5,6,4,2,10,4,0,No
4,0,7,2,5,7,4,2,4,4,9,No
4,0,7,5,9,6,4,2,1,4,0,No
4,7,7,3,5,7,4,2,9,4,9,No
4,2,7,3,9,3,4,2,10,4,5,No
4,0,7,2,5,3,4,2,8,4,9,No
4,7,7,3,9,6,4,2,1,4,0,No
4,0,7,3,9,7,4,2,1,4,0,No
4,0,7,5,9,7,4,2,1,4,9,No
4,5,7,2,5,7,4,2,9,4,9,No
4,0,7,3,9,7,4,2,1,4,9,No
4,7,7,3,9,6,4,2,9,4,9,No
4,3,7,2,6,6,4,2,4,3,5,No
4,2,7,0,9,1,4,2,10,4,5,No
4,3,7,2,5,7,4,2,4,3,0,No
4,2,7,2,9,1,4,2,10,4,5,No
4,2,7,3,5,3,4,2,8,4,5,No
4,0,7,5,5,6,4,2,9,4,9,No
4,3,7,3,5,6,4,2,8,3,0,No
4,7,7,5,9,7,4,2,4,4,9,No
4,7,7,5,9,7,4,2,10,4,9,No
4,0,7,5,9,7,4,2,1,4,9,No
4,3,7,2,6,6,4,2,8,3,0,No
4,2,7,2,9,1,4,2,1,4,5,No
4,3,7,2,5,6,4,2,9,3,0,No
4,0,7,2,9,7,4,2,8,4,9,No
4,7,7,3,5,6,4,2,9,4,9,No
4,2,7,0,5,3,4,2,8,4,5,No
4,5,7,3,9,3,4,2,4,4,9,No
4,5,7,3,9,3,4,2,4,4,9,No
4,3,7,2,6,7,4,2,4,3,5,No
4,0,7,2,5,3,4,2,8,4,0,Yes
4,2,7,3,5,3,4,2,10,4,0,Yes
4,5,7,2,5,3,4,2,9,4,9,No
4,0,7,3,9,7,4,2,9,4,9,No
4,7,7,5,5,7,4,2,10,4,0,No
4,0,9,2,5,6,4,2,5,3,5,No
4,0,7,2,5,3,4,2,8,4,9,No
4,0,7,3,5,6,4,2,4,4,9,No
4,7,7,5,9,7,4,2,9,4,0,No
4,0,7,3,5,7,4,2,9,4,0,No
4,0,7,5,9,7,4,2,1,4,9,No
4,7,7,3,9,6,4,2,1,4,0,No
4,7,7,5,9,7,4,2,9,4,0,No
4,0,7,5,5,7,4,2,9,4,9,No
4,0,7,3,5,3,4,2,4,4,0,Yes
4,0,9,3,5,1,4,2,8,3,0,No
4,0,9,2,5,3,4,2,8,3,0,No
4,3,7,3,5,6,4,2,4,3,5,No
4,2,7,2,5,1,4,2,8,4,5,No
4,2,7,2,5,3,4,2,10,4,5,No
4,0,7,5,9,7,4,2,10,4,9,No
4,3,7,3,6,6,4,2,4,3,5,No
4,2,7,0,5,1,4,2,4,4,5,No
4,2,7,3,5,3,4,2,10,4,5,No
4,0,9,3,5,6,4,2,5,3,5,No
4,5,7,3,9,3,4,2,4,4,9,No
4,0,7,5,9,7,4,2,10,4,0,No
4,0,7,3,9,6,4,2,10,4,9,No
4,0,7,3,5,7,4,2,10,4,9,No
4,7,7,3,9,6,4,2,9,4,0,No
4,0,7,5,9,6,4,2,4,4,0,No
4,5,7,2,5,7,4,2,8,4,9,No
4,2,7,3,5,3,4,2,4,4,0,Yes
4,2,7,2,9,1,4,2,4,4,5,No
4,0,7,5,5,7,4,2,9,4,0,No
4,5,7,2,5,3,4,2,9,4,9,No
4,7,7,3,5,7,4,2,10,4,0,No
4,2,7,3,9,3,4,2,10,4,5,No
4,5,7,2,5,7,4,2,9,4,9,No
4,5,7,3,5,3,4,2,4,4,9,No
4,0,7,3,9,6,4,2,4,4,0,No
4,0,7,3,9,6,4,2,4,4,9,Yes
4,5,7,2,9,3,4,2,9,4,9,No
4,0,7,2,9,3,4,2,10,4,0,Yes
4,0,9,3,9,6,4,2,10,3,5,No
4,7,7,5,9,6,4,2,10,4,9,No
4,2,7,0,9,3,4,2,8,4,5,No
4,7,7,3,5,7,4,2,1,4,9,No
4,3,7,2,6,6,4,2,8,3,0,No
4,7,7,3,9,7,4,2,4,4,0,No
4,0,9,2,9,1,4,2,8,3,5,No
4,0,7,3,5,6,4,2,4,4,9,Yes
4,0,7,3,9,7,4,2,8,4,9,No
4,0,9,2,9,3,4,2,4,3,5,No
4,7,7,3,9,6,4,2,9,4,0,No
4,7,7,5,5,7,4,2,1,4,9,No
4,2,7,2,5,1,4,2,1,4,5,No
4,3,7,3,6,7,4,2,8,3,5,No
4,7,7,3,5,7,4,2,1,4,0,No
4,2,7,2,5,3,4,2,4,4,5,No
4,0,9,3,5,1,4,2,5,3,5,No
4,5,7,3,9,7,4,2,8,4,9,No
4,3,7,2,5,6,4,2,8,3,0,No
4,0,7,3,9,7,4,2,10,4,0,No
4,5,7,2,9,7,4,2,8,4,9,No
4,2,7,3,9,3,4,2,10,4,9,Yes
4,3,7,3,6,6,4,2,9,3,5,No
4,0,7,3,9,6,4,2,9,4,0,No
4,7,7,3,5,7,4,2,1,4,9,No
4,0,7,5,5,7,4,2,1,4,0,No
4,3,7,3,6,7,4,2,9,3,0,No
4,3,7,3,6,7,4,2,4,3,0,No
4,0,9,3,9,6,4,2,4,3,5,No
4,7,7,5,5,6,4,2,9,4,0,No
4,0,7,3,9,6,4,2,9,4,9,Yes
4,0,7,3,5,7,4,2,1,4,9,No
4,0,9,2,9,1,4,2,10,3,0,No
4,0,7,3,5,3,4,2,4,4,0,Yes
4,7,7,5,9,6,4,2,9,4,9,No
4,7,7,3,9,6,4,2,10,4,0,No
4,3,7,2,5,7,4,2,4,3,5,No
4,0,7,3,9,7,4,2,10,4,0,No
